Batch #,Order Begins,Order Completed,Customer Arrives,Order Begins Time,Customer Wait Time,Order Completed Time,Order Time,Total Entity Cycle Time,Inter Arrival Time
1,1,1,11:15:10 AM,11:17:29 AM,02:20,11:17:53 AM,00:24,02:44,00:00
1,1,1,11:15:51 AM,11:17:59 AM,02:07,11:19:13 AM,01:14,03:21,00:42
2,1,1,11:16:15 AM,11:17:59 AM,01:44,11:22:22 AM,04:23,06:07,00:23
1,1,1,11:25:39 AM,11:25:43 AM,00:03,11:28:17 AM,02:34,02:37,09:24
1,1,1,11:27:36 AM,11:27:43 AM,00:07,11:29:01 AM,01:18,01:25,01:57
2,1,1,11:28:02 AM,11:28:28 AM,00:26,11:32:12 AM,03:44,04:10,00:26
3,1,1,11:28:11 AM,11:29:11 AM,01:00,11:31:51 AM,02:40,03:40,00:09
1,1,1,11:29:18 AM,11:30:15 AM,00:57,11:32:08 AM,01:54,02:51,01:07
1,1,1,11:31:28 AM,11:31:55 AM,00:27,11:37:31 AM,05:36,06:03,02:10
1,1,1,11:34:46 AM,11:35:03 AM,00:17,11:36:13 AM,01:10,01:27,03:19
1,1,1,11:34:54 AM,11:35:54 AM,01:00,11:43:01 AM,07:07,08:07,00:08
1,1,1,11:37:10 AM,11:38:13 AM,01:03,11:39:51 AM,01:38,02:41,02:16
1,1,1,11:38:20 AM,11:43:07 AM,04:47,11:44:02 AM,00:55,05:41,01:10
1,1,1,11:39:13 AM,11:43:08 AM,03:55,11:44:01 AM,00:53,04:47,00:53
1,1,1,11:41:33 AM,11:43:58 AM,02:25,11:45:58 AM,02:00,04:25,02:20
2,1,1,11:42:10 AM,11:46:14 AM,04:04,11:46:35 AM,00:21,04:25,00:37
2,1,1,11:42:23 AM,11:44:27 AM,02:04,11:45:59 AM,01:32,03:36,00:13
5,1,1,11:44:15 AM,11:46:47 AM,02:32,11:51:39 AM,04:51,07:23,01:52
5,1,1,11:44:38 AM,11:47:10 AM,02:32,11:50:28 AM,03:17,05:50,00:23
2,1,1,11:56:22 AM,11:57:40 AM,01:18,12:00:12 PM,02:32,03:50,11:44
2,1,1,11:56:39 AM,11:59:20 AM,02:41,12:00:49 PM,01:29,04:10,00:17
1,1,1,11:59:04 AM,12:00:46 PM,01:42,12:02:15 PM,01:28,03:10,02:25
1,1,1,11:59:13 AM,12:02:27 PM,03:15,12:04:28 PM,02:00,05:15,00:08
1,1,1,12:01:37 PM,12:02:46 PM,01:09,12:05:23 PM,02:37,03:47,02:24
2,1,1,12:02:40 PM,12:03:16 PM,00:37,12:04:15 PM,00:59,01:36,01:03
1,1,1,12:07:32 PM,12:07:51 PM,00:19,12:10:18 PM,02:27,02:46,04:53
2,1,1,12:08:32 PM,12:09:39 PM,01:07,12:11:20 PM,01:42,02:48,01:00
